_id,text,topics,filename
rUxgoZMBZK9IE8y68Hj0,"two-month period they offer gifts in the Shrine of
MBANGSEMEN (fsafi). On the last day of the
festival, elders of each house perform the circum-
cision of each boy “and subsequent treatment
follows at the Government dispensaries or hos-
pitals nearest the district.

The comma-shaped dancing stick held by each
boy is filled with copper pennies which were
given by each parent as gift to their boy who has

performed this ceremony—the number of pennies
strung up on each dance stick determining how
rich each family is.

¥

“VULMA”

The VULMA dance is from Mubi. It is an
initiation dance which depicts the coming of age of
bachelors in Mubi area of Sardauna Province. Thus

4

 

As the music hots up so the dance progresses as the dancers stamp the ground in one orderly precision. The leader
of the group with decorated pair of trousers second from right, with white cap to match, is holding a whip to
enforce discipline in the group

18
","Cultural Traditions, Rites of Passage, Festivals, Dance, Community Celebrations, Health and Medicine, Wealth Symbolism, Initiation Ceremonies, Regional Customs, Social Practices",Nigeria Magaziine/1970/March 1970/Nigeria Magazine March_1970_Pg 18.tif
r0xhoZMBZK9IE8y6Yngj,"GREAT NIGERIAN RULERS:

I—Shehu Laminu of /Bornu

By

W. K. R..HALLam '

HE man who was to become known to the
world as Shehu Laminu or simply as al-
Kanemi was born in Kanem east of Lake Chad in
1778. His full name was Muhammad al-Amin
ibn Muhammad al-Kanemi. His father was
Sheikh Ninga of the Kuburi Borguwa of Northern
Kanem and his mother was the daughter of Abdul
Zalil, the son of Sheikh Muhammad al-Nafarawt
of Zeila in the Fezzan. Sheikh Ninga was a
renowned faki and scholar who resided _mainly
in the Fezzan where he had a large collection of
learned books and treatises which was still in
existence in Murzuk at the turn of the last century.
The antecedents of the young man who was to
become the saviour of Bornu were thus both noble
and cultured and there is no doubt that he obtained
the pious and learned disposition which was to
characterize his whole life from the upbringing he
received as a young lad. He spent his early youth
with his father in the Fezzan and then, when still
in his teens, went to Mecca on pilgrimage and
remained there studying for five years. From
Mecca he moved to Cairo for five years and whilst
there he no doubt encountered at al-Azhar
University students who had come from Bornu.
Since 1242 A.D. there had been a Bornu hostel
known as Jbn Rashiq in Cairo for the use of pil-
grims and students and there had long been con-
tact between the intelligentsia of Egypt and that of
Bornu.

From Cairo al-Kanemi travelled to Fez, another
centre of Muslim learning, and sojourned there for
_ three years before returning home. Although
Sheikh Ninga lived in the Fezzan he had retained
close connections with the land of his birth
which was separated from the Fezzan by the
Tibesti Mountains and the great sand sea lying to

their west. The normal route of trans-Saharan
communication was the ancient Garamantian
Road ending on the northern banks of Lake
Chad. This route had been in use over the ages
by Romans, Berber refugees and merchants and
pilgrims and was soon to see the Scottish explorer
Clapperton and his party, the first of the European
visitors to Bornu.

Now al-Kanemi travelled down this road and
settled in Kanem. This sparsely populated area
was not a land where scholars abounded and al-
Kanemi, with his background, was far in advance
of any learned men or fakis who were there.
Before long his learning and piety made him
renowned throughout the land and he became
widely known for the miraculous cures which he
affected as well as his writing of religious prescrip-
tions. This gave him great influence, an influence
which he was later to use with telling effect.

Bornu by this time was situated west of Lake
Chad whence the court had moved in 1390 A.D.,
abandoning Kanem to the Bulala whose pressure
the Bornu army was at that time unable to with-
stand. A century later the great Idrisid Mai or
King, Ali Gaji, built a new capital Birni Gazar-
gamu near the Yobe river which flows into the
northern waters of Lake Chad. This walled city
held nearly a quarter of a million people within its
six square miles and was the seat of the Bornu Mais
and their Kanuri aristocracy. The Bornu rulers
carried back their line unbroken for a thousand
years, back to the time when their court had
first emerged in Kanem as a nomad aristocracy
said to have descended from the great Yemeni
patriot Saif ibn Dthi Yazan, himself a descendant
of the Tubba al-Awal dynasty of Himyaritic kings.
The nomad Mais, from a beginning which pro-
","Historical Figures, Islamic History, African Kingdoms, Education and Learning, Cultural Heritage, Pilgrimage, Noble Lineages, Influential Leaders, Geographical Context, Religious Influence",Nigeria Magaziine/1970/March 1970/Nigeria Magazine March_1970_Pg 2.tif
sUxhoZMBZK9IE8y62niT," 

when they go out into the bush to cut grass or hay
for their Chief’s horses. It is after their return
that the dance commences at the Palace.

At the end of the ceremony the leader of the
gtoup is presented with a pair of decorated trousers
and a whip to maintain discipline among the
dancers.

One important aspect of the traditional dance is
that no other person is allowed to take part other
than those living within the area. An outsider
Could take part after receiving special invitation
from the Chief.

So fascinating was the dance of this particular
. §toup that they made it a double this year by
Winning the Emir of Dikwa’s Cup for Music and
Dancing at this year’s North-Eastern State
Festival of the Arts.

21

The whole group of Cham
dancers being led by their lead-
er (extreme left) as the dance
gradually ebbs into a_new step

GORGEOUS ‘‘MALIKT’’? DANCE

Resplendent in beautiful robes, the Maliki
Dancers of Bornu Province a kind of fox-trot
but this style with a difference. As each dancer
completes his or her turn, there is a gentle shaking
of hips to the beat of scintillating rhythms of the
drums and shrill notes from the algaita. Although
this group did not compete this year, yet it gave a
good account of itself as an excellent group who
has also represented the country in the Common-
wealth Festival of the Arts in London in 1965.

KOROKORO DANCERS

The new group that has appeared from Bornu
Province this year were the Korokoro acrobatic

oe

 
","Cultural Traditions, Dance Ceremonies, Local Participation, Festivals, Artistic Competitions, Community Events, Traditional Music, Cultural Heritage, Regional Dances, Historical Events",Nigeria Magaziine/1970/March 1970/Nigeria Magazine March_1970_Pg 21.tif
s0xioZMBZK9IE8y6Onjo,"     

‘ F estival, Participants of the Banderi dance are
a Sifts and offerings are offered in the shrine of
""2 so follows. The cooper pennies on each dancer’s

4

rine parents of the participant are

git the famous Maliki Dancers. The last two dancers

_: were guest artistes at this year’s North-Eastern
he Arts

23

 

 

 

g

ye SPT I ee

Ber to reo
","Cultural Events, Dance, Traditions, Festivals, Community Involvement, Religious Practices, Family, Art Forms, Cultural Heritage, Performing Arts",Nigeria Magaziine/1970/March 1970/Nigeria Magazine March_1970_Pg 23.tif
uExjoZMBZK9IE8y6JHh4," 

Another boy prodigy singer 13-year-old Umaru Keff, fi rom Jalingo, Muri Division, in ain Hos at the
estiva

28
","Music, Young Artists, Talent Development, Cultural Background, Emerging Talent, Teenage Prodigies, Local Artists, Artistic Expression, Community Recognition, Inspiration",Nigeria Magaziine/1970/March 1970/Nigeria Magazine March_1970_Pg 28.tif
u0xkoZMBZK9IE8y6AHhL,"CENTRE FOR NIGERIAN LANGUAGES

By a

xf

tf

A. N. SKINNER

Centre for Nigerian Languages is being set
up as part of Abdullahi Bayero College, Kano.

It is intended that this will, among other things, take

over and develop the work of the former Hausa

Language Board. At present it is financed by a grant

made by Kano State and its staff consists of a full-

time secretary. A Hausa typist will shortly be added.

However, the three members of the Bayero College

Faculty involved in the teaching of Hausa are also

assisting in its work. On the other hand due to short-

age of staff, most of the secretary’s time is now devoted

_ to teaching.

The following projects have already been started:

1. Bibliography of Hausa Studies; through the kind-
ness of Mr Paul Lovejoy, the Centre has been
given or lent a large number of indexed cards
which will form the core of such a bibliography.
These are being copied or filed;

2. Reprint of Bargery’s Dictionary; this is being
considered by Greggs Publishers and UNESCO,
and the Centre is preparing an appendix of
additional words and amendments, in particular
neologisms that have entered the language from
English and French since 1930;

3. A revised edition of the Hausa Language Board’s
English-Hausa Dictionary. has been prepared
and is to be published by North Nigerian Pub-
lishing Co., Zaria;

4. A small collection of poetry has been made both
in manuscript and on tape and this is being tran-

_ liscribed and indexed;
s. Anumber of leading persons concerned with and
interested in the Hausa language have been
invited to become members of the Advisory
Committee on the Hausa. language, and regular
meetings of this Committee have been held;

6. Liaison with the UNESCO Research Centre in

""Niamey has been established. and support (with
both equipment, finance and taped material)
received;

30

7. A prize for the best Hausa short story written by a
student of Bayero College this session has been
awarded and is to be published.

Policy and plans for the future will, of course, depend
on. the financial support available and the staff that the
Centre is able to employ. But it seems that the Centre
might serve to stimulate, to encourage co-operation
and to provide information and facilities to scholars,
publishers and writers; and make suggestions for the
standardization of orthography.

In pursyance of such a policy, it is suggested that while
the following are needed, perhaps urgently needed if
the- policies of States envisage increased teaching of
vernaculars, it is not within the bounds of reason-
able possibility for the Centre to produce them all.
What is possible is for the Centre to encourage publishers
and writers to undertake them; to ask States to support
and recommend their use in schools; to read man-
uscripts for publishers and to advise ort orthography;
and perhaps to offer encouragement to writers in the
shape of regular competitions and prizes; to hold short
courses and seminars; also, of course, to welcome and
assist scholars, Nigerian and visiting, in any way
possible:

1. A Hausa-Hausa dictionary;

2. A Hausa grammar, in Hausa, for primary schools

i.€., a rewriting of the very unsatisfactory Hausa a

Sauk’ ak’e;

3. A more advanced grammar of Hausa for use in
secondary schools;

4. A revised edition of Hausa Spelling (the Hausa
edition) ;

“A

- More Hausa readers for primary schools;

6. A successor to Rankin’s Dabarun Talifi;

7. Ensuring the continued supply of the best of the
Literature Bureau’s and Gaskiya Corporation’s
older titles;

8. Translations of English (and other language)
classics into Hausa and other major languages;

9. Encouragement of new writers of poetry, plays
","Language Preservation, Cultural Studies, Education Initiatives, Linguistic Research, Hausa Language Projects, Collaboration with UNESCO, Literary Competitions, Dictionary Development, Language Standardization, Community Engagement",Nigeria Magaziine/1970/March 1970/Nigeria Magazine March_1970_Pg 30.tif
wUxmoZMBZK9IE8y6Hnj6,"recruited a strong body-guard as well as armed servants
who acted as a police force, detecting and foiling plot
after plot against the king. Moreover, it is said that he
attempted to control the trade in arms and. ammunition
with a view to ensuring that only his trusted servants
and their relations would be in possession of fire arms.
The reaction of the Ife people to all these was wholly
hostile. They believed that Abeweila was building the

refugees into an army which he intended to use to |

subdue Ife. Civil disturbances became the order of the
day. By the time Abeweila died in 1851 or 1852, Ife
had polarised into two armed camps. The question was
not whether there would be war but when the war
would come.

The war came in 1852. Shortly after or before Abe-
weila’s death, the refugees, acting, it is said, on the
advice which Abeweila had given them, moved out in a
body and established a separate settlement, which
they called Modakeke, just outside the south-western
wall of Ile-Ife. The Ife, determined that Modakeke
should not stand and that its people should leave their
soil entirely, fell upon Modakeke. However, the
Modakeke repulsed them in a bloody battle but,
according to accounts later recorded by the Modakeke

in the 1880's, * refrained from following them into lle-Ife,

hoping, no doubt, that some settlement could yet be
effected with the Ife. But the Ife quickly recovered
from this defeat and again attacked Modakeke. This.
second battle went much like the first—and the
victorious Modakeke men entered Ile-Ife and sacked it,
taking many of its people into captivity and carrying
away much of its treasure.

Ife, then, reached the lowest depths of degradation in
1852. All the rest of its people who survived death and
captivity, fled from their burning town—most of them
going to settle in the village of Isoya, a small market
place on the road to Iebu-Igbo. There they were to be
for close on four years, while their town remained in
ruins and empty, its streets gradually giving in to wild
weeds,

At last, in 1855, the government of Ibadan, under the
leadership of the Balogun Ibikunle; intervened. Repre-
sentatives of the two parties came to Ibadan, their
disputes were settled and the Ife were told to go and re-
occupy their town. Many of them, especially those who
had been staying with relations and friends at Modakeke,
returned immediately to rebuild their houses. But the

majority found it difficult to trust the Modakeke and
therefore continued at Isoya. As late as 1858, many of
these were just coming to rebuild their houses. Conse-
quently, by this date, most of the town was still a heap
of ‘ruins, broken mud walls, old pots, etc.’ By August -
1858, they were just rebuilding the town walls, and
arrangements for the palace were just being considered
—the king, who had just returned to the town, being
housed near the palace ruins in a little ‘low shed about 20
feet long and 8 feet wide walled up with mud to the
height of 5 feet’. The Balogun and most of the other
chiefs were still at Isoya.® :

However, the town was ultimately rebuilt, more or
Jess in full. When the Rev. David Hinderer visited it
again in 1875,?° he found it in a considerably different
state from what it had been in 1858, and its king once
more the nmster of decent palace apartments and court-
yards. Buf“ the disaster of the Modakeke War left a
permanent mark—as payment for the Ibadan interven-
tion in 1855, both Ife and Modakeke were obliged to
become vassals of Ibadan, to pay annual tributes and
to contribute contingents to the Ibadan army whenever
the Ibadan chiefs demanded them. For close on thirty
years after this date, the ancient kingdom of Ife was to
constitute a part of the vast empire of Ibadan. An
Ibadan Ajele (resident official) was placed at Ile-Ife
(others were stationed at Modakeke, Apomu, Ikire,
Gbongan and Ipetumodu) to supervise the collection
of the tributes and ensure continued loyalty of the people
to their Ibadan overlords. On many occasions, the Ife
people had to take part, on the side of Ibadan, in wars
which did not concern them,*1

_ The Modakeke War was not the end of Ife’s disasters.
In fact, the greatest was yet to come. A mighty storm
had been steadily gathering in the whole of Yorubaland.
The events since the thirties had gradually led to the
emergence of Ibadan as the most powerful of all the
Yoruba states, Ibadan had evolved as a republic in which
military capability was the dominant consideration
in the selection of leaders. #* It was an open society which
welcomed all Yoruba men irrespective of their place of
origin and in which birth counted for very little and
personal abilities counted for everything. Naturally,
such a town became the promised land to capable and
ambitious men from all over Yorubaland, men in
search of honours and attainments which they could
never hope to aspire to in the traditionalist setting of
","Historical Conflicts, Yoruba History, Leadership and Power, Civil War, Cultural Dynamics, Military Influence, Settlement Patterns, Colonial Interventions, Social Structures, Community Resilience",Nigeria Magaziine/1970/March 1970/Nigeria Magazine March_1970_Pg 36.tif
xUxnoZMBZK9IE8y6gHgo,"The Bagirmi were one of al-Kanemi’s main opponents. They live along the Shari river. This is a view of Busso,
one of their main towns

There is no doubt that al-Kanemi was fully
aware of the-situation in Bornu. He had travelled
west of Lake Chad and his reputation was as high
in Bornu as it was in Kanem. He would have
heard all about the rise of dan Fodio and the grant-
ing of flags to Fulani and Muslim leaders through-
out Hausaland. As a scholar he would have made

ie

it his business to find out all he could about the
ideas of this new religious leader. Information
would not have been difficult to seek, for there was
much intercourse between Bornu and Kano: many
pilgrims from the west passed through Bornu
heading either for the Nile valley and the Red Sea
or for the Garamantian Road and the learned halls

 
","Historical Context, Regional Dynamics, Cultural Interactions, Religious Movements, Political Opposition, Geography, Leadership, Scholarship, Community Relations, Conflict",Nigeria Magaziine/1970/March 1970/Nigeria Magazine March_1970_Pg 4.tif
zUxpoZMBZK9IE8y6-njT,"were heaped on him, and various awards made by the
college. Every member of the family was quite proud
even, his skeptical brothers, James, John, and Peter came
to watch the ceremony. Congratulations poured in from
relatives and friends. But all along the new Rev.
Samuelson I had his mind on his mission to go to Africa
to serve Christ and his lost sheep.

For four months, Samie prepared for his voyage to
Africa. He bought several personal needs including two
bicycles and a new handy motor cycle, recently deve-
loped by the Canadian Motor Co. Mr Brown had tried
one in his station and the machine proved its worth.
Therefore, he recommended that young missionaires
coming out should be encouraged to bring them out to
Africa. Samie bought one.

The candidacy of Samie had an easy acceptance. He got
his papers of appointment as a missionary in. October as
the cold Canadian weather was setting in; but he knew
too well that within five months he would be bathing
in the hot burning sun of Africa.

He left for Africa in December and for three months,
the steamship sailed over the rough waves of the Atlantic,

stopping at various European and African ports. It wasa

trying time for the young minister-missionary. He

became sick being his first time at sea; and he remem-

bered his little city of Mainlain, the good old county of
Mainlain. He had to leave everything behind for an
unknown country. But his faith in Christ continued to
rise above his home-sickness. He fought fiercely against
the seeming selfish feelings within him.

By late March, the ship put to berth at Lagos habour.

It was the dry season in Nigeria and the cold harmattan
had come to Lagos with its dusty dry winds.

Meeting him at the port of Lagos were representatives
of the Christian Mission to Africa. He was driven to the
Mission House in the new township area of the city.
And for the next one month he lived in Lagos under-
going briefings, and a study of the Yoruba language
which would be his workmg tongue.

After mastering the greetings and some intricate
local customs, he was on his way to his station. He was
assigned to a mission post in Yagbaland.

In his company were several mission workers, some
carried his belongings while others were there to keep
him company. They journeyed for two wecks before
they got to Egbe his station.

Samie party was welcomed to the city by the Oba

47

who had had some talks with the mission at Abita and
Jebba. He requested that the Christian mission to Africa
should open a station in his country. For the mission,
that was a splendid opportunity to carry the message of
Christ to places he had not been properly known.
The people of Egbe assisted the new missionary in
setting up the station and within a period of three months
there was a church and a mission house, For the Egbe
people the white man’s religion was a novelty but his
ways were quite amusing and often stupid. They kept
their religion, but were also receptive to Samie if for no:
other reasons than for questions of keeping one’s
words, since they invited-him in the first place. For the,
young missionary and the Egbe people the moment of
truth was to come sooner than anyone expected anyway.
Assigned by the Oba to Samie as messenger, was a
local sage named Ajayi Ogun, the son of Chief Ogun-
mola, the spiritual Head of Egbe Hunters. Chief Ogun-
mola was respected throughout the land because of his
art. In those days a sage would combine many attributes.
Thus Chief Ogunmola was also a leading herbalist and
had made many sick people well through his art. Of his
four sons and. three daughters, only his last child look
after him. He lavished much love on Ajayi Ogun, and
early in life introduced him to the Oba as'a promising

youngman.

One of the natural gifts which Ajayi Ogun inherited
from his father was the “shrinking of roads.” This was
an art whereby a distance of ten miles could be shortened,
through supernatural means to five miles or could be .
lengthened to twenty miles by similar methods. As far as
Ajayi was concerned there was no contradiction between
his inheritance and the new order. He practised his art
continuously, and even when sent on errands by Samie,
he consulted his hidden powers.

It was the third year that the missionary entered Egbe
that he began to notice things. He became familiar with
the people and their varied customs, speaking the langu-
age and the dialects quite well. Ajayi who became a
leading figure in the church and a senior messenger
for the mission, was once involved in an argument with
the man of God as Samie was popularly known, Ajayi
was sent to Ilorin to collect the weekly mail but instead
of spending the usual two days to walk there and return,
he got back the same day!. He brought the letters back
with him and there was little doubt that he performed
the journey, but the missionary was puzzled. How could
","Missionary Work, Cultural Adaptation, Faith and Service, Travel and Exploration, Community Engagement, Religious Practices, Local Customs, Personal Growth, Supernatural Beliefs, Language Learning",Nigeria Magaziine/1970/March 1970/Nigeria Magazine March_1970_Pg 47.tif
3ExuoZMBZK9IE8y68XiB,"HYMN TO THE ANCIENT CITY OF
BENIN

“Hail renowned City, who with deed surpassed all

So countless warriors defeated, before the City to fall
Amidst Afric race, fearless heroes produce

In every combat, shame to opponents reduce

- Still envied remains, but to the glory of past

Pound still are gods, who lots of battle forecast

Tried shameless ruin, changing times of history
Those time tested customs, so the ageless story.

Jacos OpasEKI

ANNIVERSARY
This dreary
anniversary
wakes me
to repeat
the stale tale
of five cycles ;
and riddles
of eternity;
am. a sentry
counting out
misery in
grains of sand:

when our yesterdays
are epitaphs
and tomorrows
unexecuted wills
thrills and drills,
and life a long
and drab ballad
of wrinkled days,
letthe sexton gy
toll the sullen bells 9
for a cold
anniversary.

 

SAMUEL AsEIN ce
","Cultural Heritage, Historical Significance, Poetic Expression, Reflections on Time, Valor and Bravery, Melancholy Themes, City of Benin, Tradition and Customs, Life and Existence, Anniversaries and Remembrance",Nigeria Magaziine/1970/March 1970/Nigeria Magazine March_1970_Pg 60.tif
